Sample,X(ms) [08.05.2023 12:46:06 896 UTC],"LSim_PT2aper_DB.input","LSim_PT2aper_DB.output"
20076,1683549966958.024042,1,0.94183886051178
20077,1683549966958.272459,1,0.94183886051178
20078,1683549966958.550929,1,0.94183886051178
20079,1683549966958.775914,1,0.944675147533417
20080,1683549966959.023920,1,0.944675147533417
20081,1683549966959.272407,1,0.944675147533417
20082,1683549966959.563724,1,0.944675147533417
20083,1683549966959.776094,1,0.94737309217453
20084,1683549966960.024083,1,0.94737309217453
20085,1683549966960.272338,1,0.94737309217453
20086,1683549966960.526626,1,0.94737309217453
20087,1683549966960.776303,1,0.949939429759979
20088,1683549966961.023992,1,0.949939429759979
20089,1683549966961.272532,1,0.949939429759979
20090,1683549966961.537472,1,0.949939429759979
20091,1683549966961.776355,1,0.952380657196045
20092,1683549966962.023970,1,0.952380657196045
20093,1683549966962.272326,1,0.952380657196045
20094,1683549966962.550217,1,0.952380657196045
20095,1683549966962.776310,1,0.954702794551849
20096,1683549966963.024060,1,0.954702794551849
20097,1683549966963.272331,1,0.954702794551849
20098,1683549966963.580360,1,0.954702794551849
20099,1683549966963.777320,1,0.956911742687225
20100,1683549966964.024134,1,0.956911742687225
20101,1683549966964.272334,1,0.956911742687225
20102,1683549966964.606214,1,0.956911742687225
20103,1683549966964.776233,1,0.959012925624847
20104,1683549966965.023169,1,0.959012925624847
20105,1683549966965.272302,1,0.959012925624847
20106,1683549966965.523998,1,0.959012925624847
20107,1683549966965.775557,1,0.961011648178101
20108,1683549966966.022330,1,0.961011648178101
20109,1683549966966.274911,1,0.961011648178101
20110,1683549966966.522309,1,0.961011648178101
20111,1683549966966.775469,1,0.962912857532501
20112,1683549966967.022412,1,0.962912857532501
20113,1683549966967.275288,1,0.962912857532501
20114,1683549966967.522346,1,0.962912857532501
20115,1683549966967.798529,1,0.962912857532501
20116,1683549966968.023684,1,0.964721322059631
20117,1683549966968.282258,1,0.964721322059631
20118,1683549966968.522517,1,0.964721322059631
20119,1683549966968.777914,1,0.966441571712494
20120,1683549966969.047088,1,0.966441571712494
20121,1683549966969.294271,1,0.966441571712494
20122,1683549966969.543054,1,0.966441571712494
20123,1683549966969.808371,1,0.966441571712494
20124,1683549966970.025090,1,0.968077898025513
20125,1683549966970.277572,1,0.968077898025513
20126,1683549966970.523623,1,0.968077898025513
20127,1683549966970.823547,1,0.968077898025513
20128,1683549966971.023688,1,0.969634473323822
20129,1683549966971.282882,1,0.969634473323822
20130,1683549966971.532848,1,0.969634473323822
20131,1683549966971.801894,1,0.969634473323822
20132,1683549966972.027881,1,0.971115112304688
20133,1683549966972.286923,1,0.971115112304688
20134,1683549966972.525692,1,0.971115112304688
20135,1683549966972.796346,1,0.971115112304688
20136,1683549966973.024688,1,0.972523510456085
20137,1683549966973.277604,1,0.972523510456085
20138,1683549966973.522418,1,0.972523510456085
20139,1683549966973.804304,1,0.972523510456085
20140,1683549966974.022862,1,0.973863303661346
20141,1683549966974.276718,1,0.973863303661346
20142,1683549966974.522352,1,0.973863303661346
20143,1683549966974.816754,1,0.973863303661346
20144,1683549966975.022902,1,0.975137710571289
20145,1683549966975.276768,1,0.975137710571289
20146,1683549966975.522420,1,0.975137710571289
20147,1683549966975.829796,1,0.975137710571289
20148,1683549966976.023885,1,0.976350009441376
20149,1683549966976.274913,1,0.976350009441376
20150,1683549966976.522317,1,0.976350009441376
20151,1683549966976.776283,1,0.976350009441376
20152,1683549966977.022974,1,0.9775031208992
20153,1683549966977.274990,1,0.9775031208992
20154,1683549966977.524746,1,0.9775031208992
20155,1683549966977.772212,1,0.9775031208992
20156,1683549966978.022931,1,0.978599965572357
20157,1683549966978.274850,1,0.978599965572357
20158,1683549966978.524846,1,0.978599965572357
20159,1683549966978.772266,1,0.978599965572357
20160,1683549966979.024198,1,0.979643285274506
20161,1683549966979.275111,1,0.979643285274506
20162,1683549966979.524800,1,0.979643285274506
20163,1683549966979.772269,1,0.979643285274506
20164,1683549966980.038700,1,0.980635762214661
20165,1683549966980.290743,1,0.980635762214661
20166,1683549966980.525727,1,0.980635762214661
20167,1683549966980.772337,1,0.980635762214661
20168,1683549966981.024228,1,0.981579840183258
20169,1683549966981.274887,1,0.981579840183258
20170,1683549966981.524760,1,0.981579840183258
20171,1683549966981.772204,1,0.981579840183258
20172,1683549966982.041308,1,0.982477903366089
20173,1683549966982.275925,1,0.982477903366089
20174,1683549966982.525331,1,0.982477903366089
20175,1683549966982.772923,1,0.982477903366089
20176,1683549966983.041582,1,0.982477903366089
20177,1683549966983.275696,1,0.98333215713501
20178,1683549966983.525004,1,0.98333215713501
20179,1683549966983.772470,1,0.98333215713501
20180,1683549966984.022901,1,0.98333215713501
20181,1683549966984.276277,1,0.984144747257233
